36492056;592950
40838966;08-0010
36337704;080/9-40
18766098;741/64-0
59675;0860-0
22399874;000600/
42346724;004000
44927074;07099
47955766;31
41299473;1-55332
11818370;034421
40778761;41-9563
46686521;866
39971816;631593
22207954;36-4637
40473383;58-7516
634781;94-47
40473376;144205
45374761;3940
40693466;51-2350
40930643;291086
21470718;79/3-52
24623773;70/9-142
35447347;750443
40626635;51-8325
39923840;253203
38929309;0884-56
26486480;003705
27386171;00-0264
36002116;46-3068
36410439;6126-04
16550358;2/33888
35794827;4479
39330275;3-13087
19561377;7-90840
12179085;36720-0
26588881;30/07-00
42337380;641610
2159791;22
47281799;6
145715;4
46132;8-8
15003741;66
47955765;00
35813102;3321411
40388557;4233216
13324844;87-23644
12031813;126-4518
19049169;6121517
21344355;1533443
20216104;5465735
27275339;7-485634
23836198;3215136
26321148;4141451
13111502;2-413676
11093209;6743782
19836937;5426456
20697700;58-44553
26888124;4553563
26817814;5231763
41021410;2123154
15964331;111-2355
17423467;2-374342
33798683;5-244444
13449967;2744474
27219021;386-1121
45824968;6
42486897;85
41870154;9-752465
19481107;9374664
5222545;5343422
25444696;5933134
21309064;3372514
11878324;5631335
21956976;2521217
14022710;4131565
25094848;613-4221
28712487;1714534
17162014;2116342
11685264;3695516
12161009;6668433
11761898;5331324
36246010;9429212
790518;1174525
25444801;13-45365
23210426;7676124
1237749;6574751
26746672;7056853
41564165;6312224
40056684;5-1
26888126;457/3-443
41516403;5544122
39511408;4682522
46747214;2132
46242221;3471
39862464;6222123
45432127;11353
924664;4222124
1345423;5822511
47007708;11
43902403;10615
40653111;418-5262
40853444;0-216152
40028944;1352242
28563763;67-23367
39081646;0236552
39471993;755-5138
40388548;7422453
13332455;5831334
40132232;4866512
1376615;2553445
2491866;715-5280
25725040;3-842333
40548011;3591535
1483888;74201
40372344;84346
17971605;87442
49040247;42157
24928274;16744
40773062;07076
49040248;66x36
43693407;734x
49040250;86x
49040251;392x1
46159944;3322x
49040253;462x6
49040254;433
49040256;5
49040257;630x7
49040258;23
49040259;6
38868760;95452
36685155;44423
49040260;56337
49040261;568x3
4333331;678
42170469;45535
40916703;4x644
49040262;58
42473102;48x05
28499128;26866
13083593;76768
11460921;75290
3480987;416x9
17971532;209x5
3816077;20x26
7308107;14x09
22758638;245x0
44144799;414x9
23783430;08303
39610800;22544
48199320;124
43224600;61x68
2190440;145
39318522;x32x1
693080;21x41
49040263;5210x
49040264;124x1
49040265;24x9
6428535;74807
6786316;24072
16837286;x2124
24465457;46859
49040266;x5611
43970369;78x91
39732968;21619
5691190;11496
42769514;51142
39858991;07689
11978909;67125
40685902;63741
36620963;3x748
49040267;881x6
1437114;1828x
36423450;16
27386260;28441
37619864;71038
42729848;56510
38454728;32633
18145074;62619
27005801;44118
24169685;01578
28699494;66024
12360975;8x924
17326126;72143
24514835;53175
42099003;87397
49040268;23221
20357261;61212
36121998;2x859
34980579;45261
28287326;73792
25751095;x3448
39317767;89438
28369728;x2951
46603512;41711
48261360;75168
2023783;39x51
4305303;x7876
26982598;x2253
33970399;x00x4
40940979;0x516
42676970;5211x
38321169;529x7
36750215;343x2
6940009;42216
22746505;09x0x
27038988;04734
2294642;508x1
35586385;x4332
47989120;x7187
40097473;8652x
27140957;29x50
41642868;45022
27400496;27784
25246639;7x864
42845592;84251
49089163;4x211
26610902;64212
22153060;33639
49089164;4224x
28209208;7648x
27945108;4384x
49089165;7x315
